id,vertical,sector,macro_theme,problem_title,severity_score,urgency_score,frequency_score,opportunity_score,ai_fit_score,solution_direction
education--official_channel_confusion,Education,education,trust,Users cannot tell which Education channels are official and safe,87,88,82,85,62,"Official-channel registries, signed notifications, and trust-verification UX."
education--knowledge_fragmentation,Education,education,support,"Users in Education get contradictory answers across help content, AI, and agents",72,63,77,73,84,"Unified knowledge graph, answer verification, and source-aware support systems."
education--identity_proofing_friction,Education,education,identity,Legitimate users in Education fail identity proofing while fraudsters still slip through,83,75,71,79,73,"Adaptive proofing, low-friction trust signals, and fallback recovery lanes."
edtech--imposter_scam,EdTech,education,fraud,Users cannot tell real EdTech outreach from imposter scams,95,83,81,87,60,"Trust verification layer, message provenance, and outbound notice registry."
edtech--social_media_scam,EdTech,education,fraud,Users get pulled from social feeds into fake EdTech offers,92,84,86,87,55,"Link reputation, seller verification, and ad-to-checkout risk scoring."
edtech--deepfake_voice_fraud,EdTech,education,fraud,Users are vulnerable to deepfake or voice-clone fraud in EdTech,96,90,68,87,49,"Out-of-band verification, secure callback flows, and synthetic-media detection."
edtech--phishing_login_flow,EdTech,education,identity,Users are tricked into phishing flows that mimic official EdTech login pages,97,94,75,89,54,"Phishing-resistant authentication, origin validation, and login anomaly detection."
edtech--job_opportunity_trap,EdTech,education,fraud,Users chasing EdTech opportunities fall into fake jobs or business offers,89,89,73,84,57,"Listing verification, recruiter proofing, and payout-safe workflows."
edtech--rental_listing_fraud,EdTech,education,fraud,Users searching EdTech listings cannot tell fake inventory from real supply,88,76,67,79,53,"Listing authenticity scoring, owner proof, and anti-escrow fraud protections."
edtech--investment_scam,EdTech,education,fraud,Users are lured into fake EdTech investment or yield schemes,99,88,63,85,46,"Investment verification rails, high-risk claim detection, and suspicious transfer intervention."
edtech--seller_trust_gap,EdTech,education,marketplace,Users do not trust whether a EdTech seller or provider is real,85,79,79,82,62,"Seller trust graphs, transaction guarantees, and identity-backed reputation."
edtech--fake_reviews,EdTech,education,trust,"Users cannot trust reviews, ratings, or testimonials in EdTech",79,72,82,79,67,"Review authenticity, verified outcomes, and anomaly-based reputation scoring."
edtech--delivery_confusion,EdTech,education,operations,Users struggle to understand real delivery status in EdTech,77,72,81,77,70,"Verified status feeds, exception alerts, and unified tracking UX."
edtech--refund_delay,EdTech,education,payments,Users cannot predict when EdTech refunds will actually arrive,81,70,77,78,72,"Refund timelines, bank-status translation, and self-serve refund intelligence."
edtech--billing_confusion,EdTech,education,payments,"Users do not understand EdTech charges, renewals, or fee structure",83,73,80,80,74,"Explainable billing, charge provenance, and proactive anomaly notices."
edtech--subscription_cancellation,EdTech,education,payments,Users cannot cancel or downgrade EdTech subscriptions cleanly,76,69,75,74,68,"Transparent offboarding, downgrade alternatives, and friction analytics."
edtech--account_takeover,EdTech,education,identity,Users lose access to EdTech accounts through takeover or session theft,95,90,70,87,65,"Session risk scoring, recovery hardening, and impossible-travel style anomaly controls."
edtech--password_reset_pain,EdTech,education,identity,Users hit dead ends in EdTech password reset and recovery flows,74,72,78,76,70,"Adaptive recovery routing, identity proofing, and state-aware help flows."
edtech--otp_mfa_fatigue,EdTech,education,identity,Users in EdTech face OTP and MFA fatigue without feeling truly protected,80,69,68,75,63,"Phishing-resistant auth, prompt abuse detection, and human-readable risk cues."
edtech--support_wait_time,EdTech,education,support,Users cannot reach useful human support quickly in EdTech,82,71,83,80,75,"Intent-aware routing, better escalation triggers, and queue transparency."
edtech--self_service_failure,EdTech,education,support,Users try self-service in EdTech but still end up stuck,78,71,84,79,81,"Resolution-focused knowledge design, step validation, and failure-loop analytics."
edtech--ai_handoff_gap,EdTech,education,support,Users in EdTech get trapped between AI help and human help,81,78,76,81,86,"Conversation memory, escalation contracts, and bot-to-human state transfer."
edtech--feedback_void,EdTech,education,support,Users report problems in EdTech but feel nothing changes,70,65,72,71,66,Closed-loop feedback orchestration and action-trace dashboards.
edtech--privacy_transparency_gap,EdTech,education,privacy,Users do not understand how EdTech uses personal data,75,62,74,73,67,"Plain-language data notices, purpose-level controls, and permission history."
edtech--onboarding_dropoff,EdTech,education,conversion,Users abandon EdTech onboarding before seeing value,73,65,81,76,73,"Risk-adaptive onboarding, progressive profiling, and abandonment analytics."
edtech--checkout_abandonment,EdTech,education,conversion,Users in EdTech abandon checkout when trust or cost changes too late,79,72,79,80,71,"Transparent checkout, pre-verified totals, and trust-state messaging."
edtech--hidden_fees,EdTech,education,payments,Users discover hidden or confusing fees in EdTech too late,77,71,73,76,66,"Price breakdowns, fee explainers, and cost-delta warnings."
edtech--official_channel_confusion,EdTech,education,trust,Users cannot tell which EdTech channels are official and safe,90,88,75,84,58,"Official-channel registries, signed notifications, and trust-verification UX."
edtech--knowledge_fragmentation,EdTech,education,support,"Users in EdTech get contradictory answers across help content, AI, and agents",74,63,71,72,79,"Unified knowledge graph, answer verification, and source-aware support systems."
edtech--identity_proofing_friction,EdTech,education,identity,Legitimate users in EdTech fail identity proofing while fraudsters still slip through,86,75,65,79,69,"Adaptive proofing, low-friction trust signals, and fallback recovery lanes."
job_board--imposter_scam,Job Board,work,fraud,Users cannot tell real Job Board outreach from imposter scams,99,83,83,88,62,"Trust verification layer, message provenance, and outbound notice registry."
job_board--social_media_scam,Job Board,work,fraud,Users get pulled from social feeds into fake Job Board offers,96,84,88,88,57,"Link reputation, seller verification, and ad-to-checkout risk scoring."
job_board--deepfake_voice_fraud,Job Board,work,fraud,Users are vulnerable to deepfake or voice-clone fraud in Job Board,100,90,70,88,50,"Out-of-band verification, secure callback flows, and synthetic-media detection."
job_board--phishing_login_flow,Job Board,work,identity,Users are tricked into phishing flows that mimic official Job Board login pages,100,94,77,90,55,"Phishing-resistant authentication, origin validation, and login anomaly detection."
job_board--job_opportunity_trap,Job Board,work,fraud,Users chasing Job Board opportunities fall into fake jobs or business offers,92,89,75,85,59,"Listing verification, recruiter proofing, and payout-safe workflows."
job_board--rental_listing_fraud,Job Board,work,fraud,Users searching Job Board listings cannot tell fake inventory from real supply,91,76,69,80,54,"Listing authenticity scoring, owner proof, and anti-escrow fraud protections."
job_board--investment_scam,Job Board,work,fraud,Users are lured into fake Job Board investment or yield schemes,100,88,64,85,48,"Investment verification rails, high-risk claim detection, and suspicious transfer intervention."
job_board--seller_trust_gap,Job Board,work,marketplace,Users do not trust whether a Job Board seller or provider is real,88,79,81,84,64,"Seller trust graphs, transaction guarantees, and identity-backed reputation."
job_board--fake_reviews,Job Board,work,trust,"Users cannot trust reviews, ratings, or testimonials in Job Board",82,72,84,80,69,"Review authenticity, verified outcomes, and anomaly-based reputation scoring."
job_board--delivery_confusion,Job Board,work,operations,Users struggle to understand real delivery status in Job Board,80,72,83,79,73,"Verified status feeds, exception alerts, and unified tracking UX."
job_board--refund_delay,Job Board,work,payments,Users cannot predict when Job Board refunds will actually arrive,84,70,79,80,75,"Refund timelines, bank-status translation, and self-serve refund intelligence."
job_board--billing_confusion,Job Board,work,payments,"Users do not understand Job Board charges, renewals, or fee structure",86,73,82,82,77,"Explainable billing, charge provenance, and proactive anomaly notices."
job_board--subscription_cancellation,Job Board,work,payments,Users cannot cancel or downgrade Job Board subscriptions cleanly,79,69,77,75,70,"Transparent offboarding, downgrade alternatives, and friction analytics."
job_board--account_takeover,Job Board,work,identity,Users lose access to Job Board accounts through takeover or session theft,99,90,72,89,67,"Session risk scoring, recovery hardening, and impossible-travel style anomaly controls."
job_board--password_reset_pain,Job Board,work,identity,Users hit dead ends in Job Board password reset and recovery flows,77,72,80,77,72,"Adaptive recovery routing, identity proofing, and state-aware help flows."
job_board--otp_mfa_fatigue,Job Board,work,identity,Users in Job Board face OTP and MFA fatigue without feeling truly protected,83,69,70,76,65,"Phishing-resistant auth, prompt abuse detection, and human-readable risk cues."
job_board--support_wait_time,Job Board,work,support,Users cannot reach useful human support quickly in Job Board,85,71,85,82,78,"Intent-aware routing, better escalation triggers, and queue transparency."
job_board--self_service_failure,Job Board,work,support,Users try self-service in Job Board but still end up stuck,81,71,86,80,83,"Resolution-focused knowledge design, step validation, and failure-loop analytics."
job_board--ai_handoff_gap,Job Board,work,support,Users in Job Board get trapped between AI help and human help,84,78,78,82,89,"Conversation memory, escalation contracts, and bot-to-human state transfer."
job_board--feedback_void,Job Board,work,support,Users report problems in Job Board but feel nothing changes,72,65,74,72,68,Closed-loop feedback orchestration and action-trace dashboards.
job_board--privacy_transparency_gap,Job Board,work,privacy,Users do not understand how Job Board uses personal data,78,62,76,75,69,"Plain-language data notices, purpose-level controls, and permission history."
job_board--onboarding_dropoff,Job Board,work,conversion,Users abandon Job Board onboarding before seeing value,76,65,83,78,76,"Risk-adaptive onboarding, progressive profiling, and abandonment analytics."
job_board--checkout_abandonment,Job Board,work,conversion,Users in Job Board abandon checkout when trust or cost changes too late,82,72,81,82,74,"Transparent checkout, pre-verified totals, and trust-state messaging."
job_board--hidden_fees,Job Board,work,payments,Users discover hidden or confusing fees in Job Board too late,80,71,75,77,68,"Price breakdowns, fee explainers, and cost-delta warnings."
job_board--official_channel_confusion,Job Board,work,trust,Users cannot tell which Job Board channels are official and safe,93,88,77,86,60,"Official-channel registries, signed notifications, and trust-verification UX."
job_board--knowledge_fragmentation,Job Board,work,support,"Users in Job Board get contradictory answers across help content, AI, and agents",77,63,73,73,81,"Unified knowledge graph, answer verification, and source-aware support systems."
job_board--identity_proofing_friction,Job Board,work,identity,Legitimate users in Job Board fail identity proofing while fraudsters still slip through,89,75,67,81,71,"Adaptive proofing, low-friction trust signals, and fallback recovery lanes."
hr_payroll--imposter_scam,HR and Payroll,work,fraud,Users cannot tell real HR and Payroll outreach from imposter scams,79,83,85,82,64,"Trust verification layer, message provenance, and outbound notice registry."
hr_payroll--social_media_scam,HR and Payroll,work,fraud,Users get pulled from social feeds into fake HR and Payroll offers,76,84,90,82,59,"Link reputation, seller verification, and ad-to-checkout risk scoring."
hr_payroll--deepfake_voice_fraud,HR and Payroll,work,fraud,Users are vulnerable to deepfake or voice-clone fraud in HR and Payroll,80,90,72,82,52,"Out-of-band verification, secure callback flows, and synthetic-media detection."
hr_payroll--phishing_login_flow,HR and Payroll,work,identity,Users are tricked into phishing flows that mimic official HR and Payroll login pages,81,94,79,84,57,"Phishing-resistant authentication, origin validation, and login anomaly detection."
hr_payroll--job_opportunity_trap,HR and Payroll,work,fraud,Users chasing HR and Payroll opportunities fall into fake jobs or business offers,74,89,77,80,61,"Listing verification, recruiter proofing, and payout-safe workflows."
hr_payroll--rental_listing_fraud,HR and Payroll,work,fraud,Users searching HR and Payroll listings cannot tell fake inventory from real supply,73,76,71,74,56,"Listing authenticity scoring, owner proof, and anti-escrow fraud protections."
hr_payroll--investment_scam,HR and Payroll,work,fraud,Users are lured into fake HR and Payroll investment or yield schemes,82,88,66,80,49,"Investment verification rails, high-risk claim detection, and suspicious transfer intervention."
hr_payroll--seller_trust_gap,HR and Payroll,work,marketplace,Users do not trust whether a HR and Payroll seller or provider is real,71,79,83,78,66,"Seller trust graphs, transaction guarantees, and identity-backed reputation."
hr_payroll--fake_reviews,HR and Payroll,work,trust,"Users cannot trust reviews, ratings, or testimonials in HR and Payroll",66,72,86,75,71,"Review authenticity, verified outcomes, and anomaly-based reputation scoring."
hr_payroll--delivery_confusion,HR and Payroll,work,operations,Users struggle to understand real delivery status in HR and Payroll,64,72,85,73,75,"Verified status feeds, exception alerts, and unified tracking UX."
hr_payroll--refund_delay,HR and Payroll,work,payments,Users cannot predict when HR and Payroll refunds will actually arrive,67,70,81,74,77,"Refund timelines, bank-status translation, and self-serve refund intelligence."
hr_payroll--billing_confusion,HR and Payroll,work,payments,"Users do not understand HR and Payroll charges, renewals, or fee structure",69,73,84,76,79,"Explainable billing, charge provenance, and proactive anomaly notices."
hr_payroll--subscription_cancellation,HR and Payroll,work,payments,Users cannot cancel or downgrade HR and Payroll subscriptions cleanly,63,69,80,70,72,"Transparent offboarding, downgrade alternatives, and friction analytics."
hr_payroll--account_takeover,HR and Payroll,work,identity,Users lose access to HR and Payroll accounts through takeover or session theft,79,90,74,82,69,"Session risk scoring, recovery hardening, and impossible-travel style anomaly controls."
hr_payroll--password_reset_pain,HR and Payroll,work,identity,Users hit dead ends in HR and Payroll password reset and recovery flows,61,72,82,72,74,"Adaptive recovery routing, identity proofing, and state-aware help flows."
hr_payroll--otp_mfa_fatigue,HR and Payroll,work,identity,Users in HR and Payroll face OTP and MFA fatigue without feeling truly protected,66,69,72,71,67,"Phishing-resistant auth, prompt abuse detection, and human-readable risk cues."
hr_payroll--support_wait_time,HR and Payroll,work,support,Users cannot reach useful human support quickly in HR and Payroll,68,71,87,76,80,"Intent-aware routing, better escalation triggers, and queue transparency."
hr_payroll--self_service_failure,HR and Payroll,work,support,Users try self-service in HR and Payroll but still end up stuck,65,71,88,75,86,"Resolution-focused knowledge design, step validation, and failure-loop analytics."
hr_payroll--ai_handoff_gap,HR and Payroll,work,support,Users in HR and Payroll get trapped between AI help and human help,67,78,81,77,92,"Conversation memory, escalation contracts, and bot-to-human state transfer."
hr_payroll--feedback_void,HR and Payroll,work,support,Users report problems in HR and Payroll but feel nothing changes,58,65,76,67,70,Closed-loop feedback orchestration and action-trace dashboards.
hr_payroll--privacy_transparency_gap,HR and Payroll,work,privacy,Users do not understand how HR and Payroll uses personal data,62,62,78,70,71,"Plain-language data notices, purpose-level controls, and permission history."
hr_payroll--onboarding_dropoff,HR and Payroll,work,conversion,Users abandon HR and Payroll onboarding before seeing value,60,65,85,73,78,"Risk-adaptive onboarding, progressive profiling, and abandonment analytics."
hr_payroll--checkout_abandonment,HR and Payroll,work,conversion,Users in HR and Payroll abandon checkout when trust or cost changes too late,66,72,83,77,76,"Transparent checkout, pre-verified totals, and trust-state messaging."
hr_payroll--hidden_fees,HR and Payroll,work,payments,Users discover hidden or confusing fees in HR and Payroll too late,64,71,77,72,70,"Price breakdowns, fee explainers, and cost-delta warnings."
hr_payroll--official_channel_confusion,HR and Payroll,work,trust,Users cannot tell which HR and Payroll channels are official and safe,75,88,80,80,62,"Official-channel registries, signed notifications, and trust-verification UX."
hr_payroll--knowledge_fragmentation,HR and Payroll,work,support,"Users in HR and Payroll get contradictory answers across help content, AI, and agents",61,63,75,68,84,"Unified knowledge graph, answer verification, and source-aware support systems."
hr_payroll--identity_proofing_friction,HR and Payroll,work,identity,Legitimate users in HR and Payroll fail identity proofing while fraudsters still slip through,71,75,69,75,73,"Adaptive proofing, low-friction trust signals, and fallback recovery lanes."
gig_platform--imposter_scam,Gig Platform,work,fraud,Users cannot tell real Gig Platform outreach from imposter scams,82,83,88,84,60,"Trust verification layer, message provenance, and outbound notice registry."
gig_platform--social_media_scam,Gig Platform,work,fraud,Users get pulled from social feeds into fake Gig Platform offers,80,84,93,84,55,"Link reputation, seller verification, and ad-to-checkout risk scoring."
gig_platform--deepfake_voice_fraud,Gig Platform,work,fraud,Users are vulnerable to deepfake or voice-clone fraud in Gig Platform,83,90,74,84,49,"Out-of-band verification, secure callback flows, and synthetic-media detection."
gig_platform--phishing_login_flow,Gig Platform,work,identity,Users are tricked into phishing flows that mimic official Gig Platform login pages,84,94,81,86,54,"Phishing-resistant authentication, origin validation, and login anomaly detection."
gig_platform--job_opportunity_trap,Gig Platform,work,fraud,Users chasing Gig Platform opportunities fall into fake jobs or business offers,77,89,79,81,57,"Listing verification, recruiter proofing, and payout-safe workflows."
gig_platform--rental_listing_fraud,Gig Platform,work,fraud,Users searching Gig Platform listings cannot tell fake inventory from real supply,76,76,73,76,53,"Listing authenticity scoring, owner proof, and anti-escrow fraud protections."
gig_platform--investment_scam,Gig Platform,work,fraud,Users are lured into fake Gig Platform investment or yield schemes,86,88,68,81,46,"Investment verification rails, high-risk claim detection, and suspicious transfer intervention."
gig_platform--seller_trust_gap,Gig Platform,work,marketplace,Users do not trust whether a Gig Platform seller or provider is real,74,79,86,80,62,"Seller trust graphs, transaction guarantees, and identity-backed reputation."
gig_platform--fake_reviews,Gig Platform,work,trust,"Users cannot trust reviews, ratings, or testimonials in Gig Platform",68,72,89,76,67,"Review authenticity, verified outcomes, and anomaly-based reputation scoring."
gig_platform--delivery_confusion,Gig Platform,work,operations,Users struggle to understand real delivery status in Gig Platform,66,72,88,75,70,"Verified status feeds, exception alerts, and unified tracking UX."
gig_platform--refund_delay,Gig Platform,work,payments,Users cannot predict when Gig Platform refunds will actually arrive,70,70,84,76,72,"Refund timelines, bank-status translation, and self-serve refund intelligence."
gig_platform--billing_confusion,Gig Platform,work,payments,"Users do not understand Gig Platform charges, renewals, or fee structure",72,73,87,78,74,"Explainable billing, charge provenance, and proactive anomaly notices."
gig_platform--subscription_cancellation,Gig Platform,work,payments,Users cannot cancel or downgrade Gig Platform subscriptions cleanly,66,69,82,72,68,"Transparent offboarding, downgrade alternatives, and friction analytics."
gig_platform--account_takeover,Gig Platform,work,identity,Users lose access to Gig Platform accounts through takeover or session theft,82,90,76,84,65,"Session risk scoring, recovery hardening, and impossible-travel style anomaly controls."
gig_platform--password_reset_pain,Gig Platform,work,identity,Users hit dead ends in Gig Platform password reset and recovery flows,64,72,85,74,70,"Adaptive recovery routing, identity proofing, and state-aware help flows."
gig_platform--otp_mfa_fatigue,Gig Platform,work,identity,Users in Gig Platform face OTP and MFA fatigue without feeling truly protected,69,69,74,72,63,"Phishing-resistant auth, prompt abuse detection, and human-readable risk cues."
gig_platform--support_wait_time,Gig Platform,work,support,Users cannot reach useful human support quickly in Gig Platform,71,71,90,78,75,"Intent-aware routing, better escalation triggers, and queue transparency."
gig_platform--self_service_failure,Gig Platform,work,support,Users try self-service in Gig Platform but still end up stuck,67,71,91,77,81,"Resolution-focused knowledge design, step validation, and failure-loop analytics."
gig_platform--ai_handoff_gap,Gig Platform,work,support,Users in Gig Platform get trapped between AI help and human help,70,78,83,78,86,"Conversation memory, escalation contracts, and bot-to-human state transfer."
gig_platform--feedback_void,Gig Platform,work,support,Users report problems in Gig Platform but feel nothing changes,60,65,78,68,66,Closed-loop feedback orchestration and action-trace dashboards.
gig_platform--privacy_transparency_gap,Gig Platform,work,privacy,Users do not understand how Gig Platform uses personal data,65,62,80,71,67,"Plain-language data notices, purpose-level controls, and permission history."
gig_platform--onboarding_dropoff,Gig Platform,work,conversion,Users abandon Gig Platform onboarding before seeing value,63,65,88,74,73,"Risk-adaptive onboarding, progressive profiling, and abandonment analytics."
gig_platform--checkout_abandonment,Gig Platform,work,conversion,Users in Gig Platform abandon checkout when trust or cost changes too late,68,72,86,78,71,"Transparent checkout, pre-verified totals, and trust-state messaging."
gig_platform--hidden_fees,Gig Platform,work,payments,Users discover hidden or confusing fees in Gig Platform too late,66,71,79,73,66,"Price breakdowns, fee explainers, and cost-delta warnings."
gig_platform--official_channel_confusion,Gig Platform,work,trust,Users cannot tell which Gig Platform channels are official and safe,78,88,82,82,58,"Official-channel registries, signed notifications, and trust-verification UX."
gig_platform--knowledge_fragmentation,Gig Platform,work,support,"Users in Gig Platform get contradictory answers across help content, AI, and agents",64,63,77,70,79,"Unified knowledge graph, answer verification, and source-aware support systems."
gig_platform--identity_proofing_friction,Gig Platform,work,identity,Legitimate users in Gig Platform fail identity proofing while fraudsters still slip through,74,75,71,76,69,"Adaptive proofing, low-friction trust signals, and fallback recovery lanes."
travel--imposter_scam,Travel Booking,travel,fraud,Users cannot tell real Travel Booking outreach from imposter scams,86,83,81,84,62,"Trust verification layer, message provenance, and outbound notice registry."
travel--social_media_scam,Travel Booking,travel,fraud,Users get pulled from social feeds into fake Travel Booking offers,83,84,86,84,57,"Link reputation, seller verification, and ad-to-checkout risk scoring."
travel--deepfake_voice_fraud,Travel Booking,travel,fraud,Users are vulnerable to deepfake or voice-clone fraud in Travel Booking,86,90,68,83,50,"Out-of-band verification, secure callback flows, and synthetic-media detection."
travel--phishing_login_flow,Travel Booking,travel,identity,Users are tricked into phishing flows that mimic official Travel Booking login pages,87,94,75,86,55,"Phishing-resistant authentication, origin validation, and login anomaly detection."
travel--job_opportunity_trap,Travel Booking,travel,fraud,Users chasing Travel Booking opportunities fall into fake jobs or business offers,80,89,73,81,59,"Listing verification, recruiter proofing, and payout-safe workflows."
travel--rental_listing_fraud,Travel Booking,travel,fraud,Users searching Travel Booking listings cannot tell fake inventory from real supply,79,76,67,76,54,"Listing authenticity scoring, owner proof, and anti-escrow fraud protections."
travel--investment_scam,Travel Booking,travel,fraud,Users are lured into fake Travel Booking investment or yield schemes,89,88,63,82,48,"Investment verification rails, high-risk claim detection, and suspicious transfer intervention."
travel--seller_trust_gap,Travel Booking,travel,marketplace,Users do not trust whether a Travel Booking seller or provider is real,76,79,79,79,64,"Seller trust graphs, transaction guarantees, and identity-backed reputation."
travel--fake_reviews,Travel Booking,travel,trust,"Users cannot trust reviews, ratings, or testimonials in Travel Booking",71,72,82,76,69,"Review authenticity, verified outcomes, and anomaly-based reputation scoring."
travel--delivery_confusion,Travel Booking,travel,operations,Users struggle to understand real delivery status in Travel Booking,69,72,81,74,73,"Verified status feeds, exception alerts, and unified tracking UX."
travel--refund_delay,Travel Booking,travel,payments,Users cannot predict when Travel Booking refunds will actually arrive,73,70,77,75,75,"Refund timelines, bank-status translation, and self-serve refund intelligence."
travel--billing_confusion,Travel Booking,travel,payments,"Users do not understand Travel Booking charges, renewals, or fee structure",75,73,80,78,77,"Explainable billing, charge provenance, and proactive anomaly notices."
travel--subscription_cancellation,Travel Booking,travel,payments,Users cannot cancel or downgrade Travel Booking subscriptions cleanly,68,69,75,71,70,"Transparent offboarding, downgrade alternatives, and friction analytics."
travel--account_takeover,Travel Booking,travel,identity,Users lose access to Travel Booking accounts through takeover or session theft,86,90,70,84,67,"Session risk scoring, recovery hardening, and impossible-travel style anomaly controls."
travel--password_reset_pain,Travel Booking,travel,identity,Users hit dead ends in Travel Booking password reset and recovery flows,66,72,78,73,72,"Adaptive recovery routing, identity proofing, and state-aware help flows."
travel--otp_mfa_fatigue,Travel Booking,travel,identity,Users in Travel Booking face OTP and MFA fatigue without feeling truly protected,72,69,68,72,65,"Phishing-resistant auth, prompt abuse detection, and human-readable risk cues."
travel--support_wait_time,Travel Booking,travel,support,Users cannot reach useful human support quickly in Travel Booking,74,71,83,78,78,"Intent-aware routing, better escalation triggers, and queue transparency."
travel--self_service_failure,Travel Booking,travel,support,Users try self-service in Travel Booking but still end up stuck,70,71,84,76,83,"Resolution-focused knowledge design, step validation, and failure-loop analytics."
travel--ai_handoff_gap,Travel Booking,travel,support,Users in Travel Booking get trapped between AI help and human help,73,78,76,78,89,"Conversation memory, escalation contracts, and bot-to-human state transfer."
travel--feedback_void,Travel Booking,travel,support,Users report problems in Travel Booking but feel nothing changes,63,65,72,68,68,Closed-loop feedback orchestration and action-trace dashboards.
travel--privacy_transparency_gap,Travel Booking,travel,privacy,Users do not understand how Travel Booking uses personal data,67,62,74,71,69,"Plain-language data notices, purpose-level controls, and permission history."
travel--onboarding_dropoff,Travel Booking,travel,conversion,Users abandon Travel Booking onboarding before seeing value,66,65,81,74,76,"Risk-adaptive onboarding, progressive profiling, and abandonment analytics."
travel--checkout_abandonment,Travel Booking,travel,conversion,Users in Travel Booking abandon checkout when trust or cost changes too late,71,72,79,77,74,"Transparent checkout, pre-verified totals, and trust-state messaging."
travel--hidden_fees,Travel Booking,travel,payments,Users discover hidden or confusing fees in Travel Booking too late,69,71,73,73,68,"Price breakdowns, fee explainers, and cost-delta warnings."
travel--official_channel_confusion,Travel Booking,travel,trust,Users cannot tell which Travel Booking channels are official and safe,81,88,75,81,60,"Official-channel registries, signed notifications, and trust-verification UX."
travel--knowledge_fragmentation,Travel Booking,travel,support,"Users in Travel Booking get contradictory answers across help content, AI, and agents",66,63,71,69,81,"Unified knowledge graph, answer verification, and source-aware support systems."
travel--identity_proofing_friction,Travel Booking,travel,identity,Legitimate users in Travel Booking fail identity proofing while fraudsters still slip through,77,75,65,76,71,"Adaptive proofing, low-friction trust signals, and fallback recovery lanes."
hospitality--imposter_scam,Hospitality,travel,fraud,Users cannot tell real Hospitality outreach from imposter scams,89,83,83,85,64,"Trust verification layer, message provenance, and outbound notice registry."
hospitality--social_media_scam,Hospitality,travel,fraud,Users get pulled from social feeds into fake Hospitality offers,86,84,88,85,59,"Link reputation, seller verification, and ad-to-checkout risk scoring."
hospitality--deepfake_voice_fraud,Hospitality,travel,fraud,Users are vulnerable to deepfake or voice-clone fraud in Hospitality,90,90,70,85,52,"Out-of-band verification, secure callback flows, and synthetic-media detection."
hospitality--phishing_login_flow,Hospitality,travel,identity,Users are tricked into phishing flows that mimic official Hospitality login pages,91,94,77,87,57,"Phishing-resistant authentication, origin validation, and login anomaly detection."
hospitality--job_opportunity_trap,Hospitality,travel,fraud,Users chasing Hospitality opportunities fall into fake jobs or business offers,83,89,75,82,61,"Listing verification, recruiter proofing, and payout-safe workflows."
hospitality--rental_listing_fraud,Hospitality,travel,fraud,Users searching Hospitality listings cannot tell fake inventory from real supply,82,76,69,77,56,"Listing authenticity scoring, owner proof, and anti-escrow fraud protections."
hospitality--investment_scam,Hospitality,travel,fraud,Users are lured into fake Hospitality investment or yield schemes,93,88,64,83,49,"Investment verification rails, high-risk claim detection, and suspicious transfer intervention."
hospitality--seller_trust_gap,Hospitality,travel,marketplace,Users do not trust whether a Hospitality seller or provider is real,79,79,81,81,66,"Seller trust graphs, transaction guarantees, and identity-backed reputation."
hospitality--fake_reviews,Hospitality,travel,trust,"Users cannot trust reviews, ratings, or testimonials in Hospitality",74,72,84,77,71,"Review authenticity, verified outcomes, and anomaly-based reputation scoring."
hospitality--delivery_confusion,Hospitality,travel,operations,Users struggle to understand real delivery status in Hospitality,72,72,83,76,75,"Verified status feeds, exception alerts, and unified tracking UX."
hospitality--refund_delay,Hospitality,travel,payments,Users cannot predict when Hospitality refunds will actually arrive,76,70,79,77,77,"Refund timelines, bank-status translation, and self-serve refund intelligence."
hospitality--billing_confusion,Hospitality,travel,payments,"Users do not understand Hospitality charges, renewals, or fee structure",77,73,82,79,79,"Explainable billing, charge provenance, and proactive anomaly notices."
hospitality--subscription_cancellation,Hospitality,travel,payments,Users cannot cancel or downgrade Hospitality subscriptions cleanly,71,69,77,72,72,"Transparent offboarding, downgrade alternatives, and friction analytics."
hospitality--account_takeover,Hospitality,travel,identity,Users lose access to Hospitality accounts through takeover or session theft,89,90,72,85,69,"Session risk scoring, recovery hardening, and impossible-travel style anomaly controls."
hospitality--password_reset_pain,Hospitality,travel,identity,Users hit dead ends in Hospitality password reset and recovery flows,69,72,80,75,74,"Adaptive recovery routing, identity proofing, and state-aware help flows."
hospitality--otp_mfa_fatigue,Hospitality,travel,identity,Users in Hospitality face OTP and MFA fatigue without feeling truly protected,75,69,70,73,67,"Phishing-resistant auth, prompt abuse detection, and human-readable risk cues."
hospitality--support_wait_time,Hospitality,travel,support,Users cannot reach useful human support quickly in Hospitality,77,71,85,79,80,"Intent-aware routing, better escalation triggers, and queue transparency."
hospitality--self_service_failure,Hospitality,travel,support,Users try self-service in Hospitality but still end up stuck,73,71,86,78,86,"Resolution-focused knowledge design, step validation, and failure-loop analytics."
hospitality--ai_handoff_gap,Hospitality,travel,support,Users in Hospitality get trapped between AI help and human help,76,78,78,79,92,"Conversation memory, escalation contracts, and bot-to-human state transfer."
hospitality--feedback_void,Hospitality,travel,support,Users report problems in Hospitality but feel nothing changes,65,65,74,69,70,Closed-loop feedback orchestration and action-trace dashboards.
hospitality--privacy_transparency_gap,Hospitality,travel,privacy,Users do not understand how Hospitality uses personal data,70,62,76,72,71,"Plain-language data notices, purpose-level controls, and permission history."
hospitality--onboarding_dropoff,Hospitality,travel,conversion,Users abandon Hospitality onboarding before seeing value,68,65,83,75,78,"Risk-adaptive onboarding, progressive profiling, and abandonment analytics."
